jogo ,liga,resultado,btts,goals_scoredA,goals_scoredB,avg_goals_scoredA,avg_goals_scoredB,goals_concededA,goals_concededB,avg_goals_concededA,avg_goals_concededB,avg_total_goalsA,avg_total_goalsB,over1_5A,over1_5B,over2_5A,over2_5B,over0_5_htA,over0_5_htB,over1_5_htA,over1_5_htB
Athletico PR vs Sao Paulo,brasil,x,sim,26.00,49.00,0.90,1.69,28.00,27.00,0.97,0.93,1.86,2.62,0.52,0.76,0.31,0.52,0.66,0.76,0.31,0.34
Santos vs Botafogo,brasil,a,sim,39.00,25.00,1.39,0.86,35.00,44.00,1.25,1.52,2.64,2.38,0.71,0.79,0.46,0.52,0.68,0.66,0.39,0.28
Atletico MG vs Atletico GO,brasil,a,sim,48.00,26.00,1.71,0.90,36.00,33.00,1.29,1.14,3.00,2.03,0.82,0.69,0.68,0.34,0.89,0.66,0.32,0.10
Ceara vs Bragantino,brasil,b,sim,40.00,37.00,1.38,1.28,39.00,35.00,1.34,1.21,2.72,2.48,0.86,0.83,0.45,0.48,0.66,0.62,0.34,0.34
Internacional vs Fortaleza,brasil,a,sim,44.00,24.00,1.52,0.83,26.00,26.00,0.90,0.90,2.41,1.72,0.76,0.55,0.38,0.31,0.69,0.55,0.38,0.21
Oeste vs Confianca,brasilB,b,nao,26.00,36.00,0.76,1.06,54.00,42.00,1.59,1.24,2.35,2.29,0.71,0.68,0.50,0.35,0.65,0.68,0.38,0.24
Ponte Preta vs Nautico,brasilB,a,nao,42.00,30.00,1.24,0.88,45.00,38.00,1.32,1.12,2.56,2.00,0.79,0.62,0.56,0.32,0.76,0.50,0.32,0.15
Vitoria vs Chapecoense,brasilB,x,nao,41.00,38.00,1.21,1.12,44.00,18.00,1.29,0.53,2.50,1.65,0.65,0.47,0.50,0.21,0.74,0.44,0.35,0.21
Gil Vicente vs Maritimo,portugal,b,nao,10.00,15.00,0.77,1.15,15.00,18.00,1.15,1.38,1.92,2.54,0.62,0.77,0.31,0.69,0.54,0.62,0.08,0.38
Santa Clara vs Famalicao,portugal,b,sim,12.00,14.00,0.92,1.08,16.00,24.00,1.23,1.85,2.15,2.92,0.69,0.69,0.38,0.54,0.77,0.69,0.31,0.38
Ajax vs Feyenoord,holanda,a,nao,57.00,32.00,3.56,2.00,13.00,12.00,0.81,0.75,4.38,2.75,0.88,0.81,0.81,0.44,0.88,0.56,0.56,0.31
E. Frankfurt vs Schalke 04,alemanha,a,sim,25.00,12.00,1.67,0.80,23.00,39.00,1.53,2.60,3.20,3.40,1.00,0.93,0.53,0.67,0.73,0.73,0.40,0.40
Nacional vs Moreirense,portugal,b,nao,11.00,10.00,0.92,0.77,15.00,15.00,1.25,1.15,2.17,1.92,0.67,0.69,0.33,0.31,0.58,0.69,0.33,0.23
Bayern vs Freiburg,alemanha,a,sim,46.00,28.00,3.07,1.87,24.00,24.00,1.60,1.60,4.67,3.47,1.00,1.00,0.87,0.60,1.00,0.80,0.80,0.60
Lille vs Reims,franca,a,sim,33.00,27.00,1.74,1.42,14.00,29.00,0.74,1.53,2.47,2.95,0.79,0.74,0.42,0.63,0.74,0.79,0.21,0.42
Strasbourg vs Saint-Etienne,franca,a,nao,28.00,20.00,1.47,1.05,32.00,29.00,1.68,1.53,3.16,2.58,0.84,0.84,0.58,0.47,0.79,0.84,0.37,0.37
Inter Milan vs Juventus,italia,a,nao,43.00,35.00,2.53,2.19,23.00,16.00,1.35,1.00,3.88,3.19,0.94,1.00,0.76,0.62,0.65,0.81,0.41,0.44
Atalanta vs Genoa,italia,x,nao,40.00,18.00,2.50,1.06,22.00,30.00,1.38,1.76,3.88,2.82,0.94,0.88,0.75,0.53,0.81,0.59,0.44,0.24
Crotone vs Benevento,italia,a,sim,17.00,20.00,1.00,1.18,40.00,30.00,2.35,1.76,3.35,2.94,0.82,0.76,0.65,0.47,0.88,0.76,0.59,0.35
Napoli vs Fiorentina,italia,a,nao,34.00,18.00,2.13,1.06,16.00,23.00,1.00,1.35,3.13,2.41,0.88,0.71,0.62,0.41,0.69,0.65,0.12,0.35
M. City vs Crystal Palace,inglaterra,a,nao,25.00,22.00,1.56,1.22,13.00,29.00,0.81,1.61,2.38,2.83,0.69,0.83,0.25,0.44,0.94,0.78,0.44,0.33
Juventude vs Cruzeiro,brasilB,a,nao,46.00,37.00,1.35,1.09,36.00,30.00,1.06,0.88,2.41,1.97,0.62,0.53,0.47,0.32,0.68,0.65,0.29,0.32
CSA vs Avai,brasilB,x,sim,44.00,36.00,1.29,1.06,33.00,43.00,0.97,1.26,2.26,2.32,0.65,0.65,0.47,0.41,0.76,0.65,0.47,0.24
Liverpool vs Manchester Utd,inglaterra,x,nao,37.00,34.00,2.18,2.00,21.00,24.00,1.24,1.41,3.41,3.41,0.88,0.65,0.59,0.65,0.82,0.65,0.59,0.47
Arsenal vs Newcastle Utd,inglaterra,a,nao,20.00,18.00,1.11,1.06,19.00,27.00,1.06,1.59,2.17,2.65,0.61,0.88,0.50,0.41,0.61,0.59,0.39,0.18
Cagliari vs Milan,italia,b,nao,23.00,37.00,1.35,2.18,34.00,19.00,2.00,1.12,3.35,3.29,0.88,1.00,0.53,0.71,0.76,0.88,0.35,0.47
Portimonense vs Belenenses,portugal,a,nao,9.00,6.00,0.69,0.46,17.00,11.00,1.31,0.85,2.00,1.31,0.62,0.46,0.38,0.23,0.54,0.38,0.23,0.15
Palmeiras vs Corinthians,brasil,a,nao,39.00,35.00,1.39,1.25,26.00,30.00,0.93,1.07,2.32,2.32,0.82,0.64,0.39,0.46,0.61,0.75,0.29,0.29
Goias vs Flamengo,brasil,b,nao,29.00,47.00,1.00,1.68,44.00,39.00,1.52,1.39,2.52,3.07,0.72,0.82,0.52,0.57,0.83,0.71,0.34,0.36
Hamburgo vs Osnabruck,alemanhaB,a,nao,31.00,20.00,2.07,1.33,19.00,21.00,1.27,1.40,3.33,2.73,0.87,0.80,0.73,0.53,0.93,0.73,0.40,0.33
West Ham vs West Brom,inglaterra,a,sim,25.00,14.00,1.39,0.78,21.00,41.00,1.17,2.28,2.56,3.06,0.72,0.78,0.56,0.50,0.72,0.78,0.33,0.44
Leicester vs Chelsea,inglaterra,a,nao,33.00,33.00,1.83,1.83,21.00,21.00,1.17,1.17,3.00,3.00,0.83,0.78,0.61,0.61,0.72,0.67,0.50,0.33
Cadiz vs Levante,espanha,x,sim,15.00,23.00,0.83,1.35,22.00,24.00,1.22,1.41,2.06,2.76,0.67,0.88,0.28,0.41,0.61,0.65,0.22,0.35
Valladolid vs Elche,espanha,x,sim,16.00,14.00,0.89,0.88,25.00,21.00,1.39,1.31,2.28,2.19,0.78,0.69,0.33,0.38,0.67,0.81,0.28,0.25
Alaves vs Sevilla,espanha,b,sim,16.00,21.00,0.89,1.24,23.00,15.00,1.28,0.88,2.17,2.12,0.72,0.53,0.39,0.24,0.61,0.47,0.28,0.18
Monchengladbach vs W. Bremen,alemanha,a,nao,30.00,19.00,1.88,1.19,26.00,24.00,1.63,1.50,3.50,2.69,0.88,0.88,0.62,0.31,0.69,0.69,0.44,0.50
Mainz vs Wolfsburg,alemanha,b,nao,15.00,24.00,0.94,1.50,34.00,19.00,2.13,1.19,3.06,2.69,0.75,0.81,0.56,0.50,0.75,0.62,0.44,0.62
Hertha vs Hoffenheim,alemanha,b,nao,23.00,22.00,1.44,1.38,25.00,30.00,1.56,1.88,3.00,3.25,0.75,0.81,0.56,0.69,0.69,0.75,0.25,0.50
Leverkusen vs Dortmund,alemanha,a,sim,30.00,32.00,1.88,2.00,16.00,20.00,1.00,1.25,2.88,3.25,0.75,0.94,0.56,0.62,0.75,0.56,0.44,0.19
Derby County vs Bournemouth,inglaterraB,a,nao,14.00,38.00,0.61,1.58,25.00,20.00,1.09,0.83,1.70,2.42,0.52,0.62,0.17,0.38,0.48,0.67,0.17,0.33
Reading vs Coventry City,inglaterraB,a,nao,34.00,22.00,1.48,0.96,28.00,31.00,1.22,1.35,2.70,2.30,0.78,0.70,0.57,0.43,0.65,0.52,0.39,0.30
Rotherham vs Stoke,inglaterraB,x,sim,20.00,27.00,0.95,1.13,29.00,23.00,1.38,0.96,2.33,2.08,0.71,0.54,0.43,0.29,0.57,0.62,0.33,0.25
Watford vs Barnsley,inglaterraB,a,nao,27.00,27.00,1.17,1.13,17.00,31.00,0.74,1.29,1.91,2.42,0.52,0.79,0.22,0.54,0.61,0.71,0.22,0.33
Brasil de Pelotas vs America MG,brasilB,x,nao,30.00,41.00,0.86,1.17,31.00,22.00,0.89,0.63,1.74,1.80,0.51,0.51,0.34,0.37,0.46,0.63,0.29,0.26
Avai vs Juventude,brasilB,a,sim,37.00,47.00,1.06,1.34,44.00,36.00,1.26,1.03,2.31,2.37,0.66,0.60,0.40,0.46,0.66,0.69,0.23,0.29
Botafogo SP vs CSA,brasilB,b,sim,25.00,45.00,0.71,1.29,34.00,34.00,0.97,0.97,1.69,2.26,0.51,0.66,0.26,0.46,0.49,0.77,0.11,0.46
Conficança vs Sampaio Correa,brasilB,b,nao,37.00,45.00,1.06,1.29,42.00,37.00,1.20,1.06,2.26,2.34,0.66,0.63,0.34,0.51,0.69,0.71,0.23,0.29
CRB vs Figueirense,brasilB,a,sim,38.00,31.00,1.09,0.89,42.00,35.00,1.20,1.00,2.29,1.89,0.66,0.57,0.43,0.37,0.60,0.54,0.26,0.29
M. City vs Aston Villa,inglaterra,a,nao,29.00,29.00,1.71,1.93,13.00,16.00,0.76,1.07,2.47,3.00,0.71,0.73,0.29,0.67,0.94,0.67,0.41,0.27
Fulham vs Manchester Utd,inglaterra,b,sim,14.00,34.00,0.82,1.89,25.00,24.00,1.47,1.33,2.29,3.22,0.71,0.61,0.35,0.61,0.65,0.61,0.35,0.44
Udinese vs Atalanta,italia,x,sim,19.00,40.00,1.12,2.35,27.00,22.00,1.59,1.29,2.71,3.65,0.71,0.88,0.53,0.71,0.71,0.76,0.29,0.41
Getafe vs Huesca,espanha,a,nao,15.00,14.00,0.88,0.78,18.00,28.00,1.06,1.56,1.94,2.33,0.53,0.72,0.35,0.28,0.71,0.67,0.29,0.11
Real Betis vs Celta Vigo,espanha,a,sim,22.00,22.00,1.22,1.22,31.00,28.00,1.72,1.56,2.94,2.78,0.89,0.94,0.39,0.44,0.61,0.83,0.44,0.39
Villareal vs Granada,espanha,x,sim,26.00,21.00,1.44,1.17,17.00,29.00,0.94,1.61,2.39,2.78,0.83,0.83,0.44,0.39,0.78,0.78,0.44,0.50
Marseille vs Lens,franca,b,nao,26.00,29.00,1.44,1.53,18.00,29.00,1.00,1.53,2.44,3.05,0.78,0.84,0.44,0.53,0.61,0.89,0.33,0.32
Schalke 04 vs Koln,alemanha,b,sim,13.00,13.00,0.81,0.81,42.00,27.00,2.63,1.69,3.44,2.50,0.94,0.69,0.69,0.50,0.75,0.62,0.44,0.50
Bielifeld vs Stuttgart,alemanha,a,nao,10.00,32.00,0.63,2.00,24.00,24.00,1.50,1.50,2.13,3.50,0.56,0.88,0.38,0.62,0.44,0.88,0.25,0.50
Augsburg vs Bayern,alemanha,b,nao,17.00,48.00,1.06,3.00,25.00,25.00,1.56,1.56,2.63,4.56,0.81,1.00,0.44,0.88,0.62,1.00,0.12,0.75
Freiburg vs E. Frankfurt,alemanha,x,sim,29.00,28.00,1.81,1.75,26.00,24.00,1.63,1.50,3.44,3.25,1.00,1.00,0.62,0.56,0.81,0.75,0.56,0.44
Leipzig vs Union Berlin,alemanha,a,nao,28.00,32.00,1.75,2.00,14.00,20.00,0.88,1.25,2.63,3.25,0.75,0.94,0.50,0.62,0.69,0.69,0.44,0.38
Norwich vs Bristol,inglaterraB,a,nao,33.00,25.00,1.38,1.09,21.00,24.00,0.88,1.04,2.25,2.13,0.62,0.65,0.46,0.39,0.62,0.61,0.29,0.22
Brentford vs Luton Town,inglaterraB,a,nao,36.00,21.00,1.64,0.88,21.00,26.00,0.95,1.08,2.59,1.96,0.77,0.67,0.50,0.29,0.64,0.58,0.41,0.25
Cardiff vs QPR,inglaterraB,b,nao,30.00,22.00,1.30,0.96,27.00,30.00,1.17,1.30,2.48,2.26,0.78,0.78,0.43,0.30,0.83,0.57,0.30,0.35
Huddersfield vs Millwall,inglaterraB,b,nao,28.00,20.00,1.17,0.87,34.00,24.00,1.42,1.04,2.58,1.91,0.79,0.74,0.54,0.30,0.67,0.57,0.33,0.22
Nottm Forest vs Middlesbrough,inglaterraB,b,sim,19.00,28.00,0.79,1.22,27.00,19.00,1.13,0.83,1.92,2.04,0.71,0.57,0.21,0.39,0.58,0.61,0.08,0.26
Birmingham vs Preston,inglaterraB,b,nao,18.00,30.00,0.75,1.25,29.00,33.00,1.21,1.38,1.96,2.63,0.54,0.71,0.38,0.54,0.50,0.62,0.29,0.17
Botafogo vs Atletico GO,brasil,b,sim,26.00,27.00,0.87,0.90,46.00,36.00,1.53,1.20,2.40,2.10,0.80,0.70,0.53,0.37,0.67,0.67,0.30,0.13
Bahia vs Athletico PR,brasil,a,nao,35.00,27.00,1.21,0.90,51.00,29.00,1.76,0.97,2.97,1.87,0.83,0.53,0.59,0.30,0.76,0.67,0.31,0.30
Gremio vs Atletico MG,brasil,x,sim,38.00,51.00,1.31,1.76,24.00,37.00,0.83,1.28,2.14,3.03,0.72,0.83,0.41,0.69,0.69,0.90,0.14,0.34
Coritiba vs Fluminense,brasil,x,sim,23.00,40.00,0.77,1.33,39.00,37.00,1.30,1.23,2.07,2.57,0.50,0.73,0.43,0.53,0.73,0.83,0.33,0.27
Parana vs Cuiaba,brasilB,b,nao,34.00,44.00,0.97,1.26,47.00,33.00,1.34,0.94,2.31,2.20,0.69,0.63,0.40,0.37,0.60,0.57,0.31,0.23
Guarani vs Vitoria,brasilB,b,sim,39.00,41.00,1.11,1.17,43.00,44.00,1.23,1.26,2.34,2.43,0.69,0.63,0.43,0.49,0.80,0.71,0.34,0.34
Nautico vs Oeste,brasilB,a,sim,30.00,26.00,0.86,0.74,40.00,55.00,1.14,1.57,2.00,2.31,0.63,0.69,0.31,0.49,0.51,0.66,0.17,0.37
Liverpool vs Burnley,inglaterra,b,nao,37.00,9.00,2.06,0.53,21.00,22.00,1.17,1.29,3.22,1.82,0.83,0.35,0.56,0.29,0.78,0.65,0.56,0.18
Valencia vs Osasuna ,espanha,x,sim,24.00,15.00,1.33,0.83,25.00,27.00,1.39,1.50,2.72,2.33,0.72,0.72,0.56,0.33,0.67,0.61,0.39,0.28
Eibar vs Atletico Madrid,espanha,b,sim,15.00,31.00,0.83,1.94,18.00,6.00,1.00,0.38,1.83,2.31,0.67,0.69,0.33,0.31,0.50,0.62,0.22,0.06
Guimaraes vs Nacional,portugal,a,sim,15.00,11.00,1.25,0.85,12.00,16.00,1.00,1.23,2.25,2.08,0.50,0.62,0.42,0.31,0.67,0.54,0.33,0.31
Bragantino vs Vasco,brasil,a,sim,39.00,29.00,1.30,1.00,36.00,40.00,1.20,1.38,2.50,2.38,0.83,0.72,0.50,0.48,0.60,0.69,0.33,0.28
Sao Paulo vs Internacional,brasil,b,sim,50.00,48.00,1.67,1.60,28.00,28.00,0.93,0.93,2.60,2.53,0.77,0.77,0.50,0.40,0.77,0.70,0.33,0.40
Flamengo vs Palmeiras,brasil,a,nao,50.00,43.00,1.72,1.48,39.00,26.00,1.34,0.90,3.07,2.38,0.83,0.83,0.59,0.41,0.72,0.62,0.34,0.31
Fortaleza vs Santos,brasil,a,nao,26.00,41.00,0.87,1.41,30.00,36.00,1.00,1.24,1.87,2.66,0.57,0.72,0.33,0.48,0.57,0.69,0.23,0.41
Goias vs Ceara,brasil,b,nao,29.00,41.00,0.97,1.37,47.00,41.00,1.57,1.37,2.53,2.73,0.73,0.87,0.53,0.47,0.83,0.63,0.33,0.33
Cruzeiro vs Operario PR,brasilB,a,sim,37.00,36.00,1.06,1.03,31.00,32.00,0.89,0.91,1.94,1.94,0.51,0.60,0.31,0.29,0.66,0.57,0.31,0.23
Chapecoense vs Ponte Preta,brasilB,a,nao,38.00,44.00,1.09,1.26,18.00,45.00,0.51,1.29,1.60,2.54,0.46,0.80,0.20,0.54,0.43,0.77,0.20,0.34
Benevento vs Torino,italia,x,sim,21.00,26.00,1.17,1.44,34.00,35.00,1.89,1.94,3.06,3.39,0.78,0.83,0.50,0.61,0.78,0.67,0.39,0.33
Levante vs Valladolid,espanha,x,sim,25.00,18.00,1.39,0.95,26.00,27.00,1.44,1.42,2.83,2.37,0.89,0.79,0.44,0.37,0.67,0.68,0.39,0.32
PSG vs Montpellier,franca,a,nao,44.00,33.00,2.20,1.65,11.00,35.00,0.55,1.75,2.75,3.40,0.70,0.85,0.55,0.65,0.70,0.75,0.40,0.30
Monchengladbach vs Dortmund,alemanha,a,sim,31.00,33.00,1.82,1.94,26.00,22.00,1.53,1.29,3.35,3.24,0.82,0.94,0.59,0.65,0.65,0.59,0.41,0.18
Stoke vs Watford,inglaterraB,b,sim,30.00,28.00,1.20,1.17,26.00,17.00,1.04,0.71,2.24,1.88,0.56,0.50,0.32,0.21,0.64,0.62,0.28,0.21
